Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
doc_-99,4_author,pers_0,2025-01-01,-99,NA,NA,NA,NA,NA,NA
pers_41,0_emails,pers_34,2025-01-02,1,NA,NA,NA,NA,NA,NA
pers_37,0_emails,pers_27,2025-01-02,1,NA,NA,NA,NA,NA,NA
pers_34,1_phone,pers_27,2025-01-02,1,5,5,NA,NA,NA,NA
pers_41,0_emails,pers_37,2025-01-02,1,NA,NA,NA,NA,NA,NA
pers_34,1_phone,pers_37,2025-01-02,1,5,5,NA,NA,NA,NA
pers_27,0_emails,pers_41,2025-01-02,1,NA,NA,NA,NA,NA,NA
pers_27,0_emails,pers_41,2025-01-02,1,NA,NA,NA,NA,NA,NA
pers_41,1_phone,pers_37,2025-01-02,1,5,5,NA,NA,NA,NA
pers_37,0_emails,pers_34,2025-01-02,1,NA,NA,NA,NA,NA,NA
pers_41,0_emails,pers_34,2025-01-03,1,NA,NA,NA,NA,NA,NA
pers_27,1_phone,pers_37,2025-01-03,1,5,5,NA,NA,NA,NA
pers_37,1_phone,pers_41,2025-01-03,1,5,5,NA,NA,NA,NA
pers_41,0_emails,pers_27,2025-01-03,1,NA,NA,NA,NA,NA,NA
pers_34,1_phone,pers_41,2025-01-03,1,5,5,NA,NA,NA,NA
pers_41,1_phone,pers_27,2025-01-03,1,5,5,NA,NA,NA,NA
pers_41,1_phone,pers_37,2025-01-03,1,5,5,NA,NA,NA,NA
pers_34,1_phone,pers_41,2025-01-03,1,5,5,NA,NA,NA,NA
pers_41,1_phone,pers_37,2025-01-03,1,5,5,NA,NA,NA,NA
pers_37,1_phone,pers_27,2025-01-04,1,5,5,NA,NA,NA,NA
pers_37,0_emails,pers_41,2025-01-04,1,NA,NA,NA,NA,NA,NA
pers_37,0_emails,pers_34,2025-01-04,1,NA,NA,NA,NA,NA,NA
pers_34,1_phone,pers_27,2025-01-04,1,5,5,NA,NA,NA,NA
